frameID,trayPoints,brushPoint,TwizzersPoint
74.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(294, 121)"
75.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(293, 129)"
76.0,"[(261, 87), (366, 87), (261, 294), (366, 294)]",None,"(293, 130)"
77.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(293, 131)"
78.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(293, 130)"
79.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(293, 131)"
80.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,None
81.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(293, 130)"
82.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(294, 129)"
83.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(294, 130)"
84.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(294, 132)"
85.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(294, 133)"
86.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(295, 132)"
87.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(296, 133)"
88.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(296, 133)"
89.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(296, 133)"
90.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(297, 134)"
91.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(297, 135)"
92.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(297, 136)"
93.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(297, 137)"
94.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(297, 139)"
95.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(297, 140)"
96.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(296, 139)"
97.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(296, 140)"
98.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(295, 140)"
99.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(295, 139)"
100.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(294, 139)"
101.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(295, 135)"
102.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(295, 135)"
103.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(295, 134)"
104.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(294, 133)"
105.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(294, 130)"
106.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(294, 129)"
107.0,"[(261, 89), (366, 89), (261, 294), (366, 294)]",None,"(293, 130)"
108.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(292, 129)"
109.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(292, 128)"
110.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(292, 127)"
111.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(294, 124)"
112.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(293, 120)"
113.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(295, 107)"
114.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(298, 105)"
115.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(298, 105)"
116.0,"[(261, 88), (366, 88), (261, 294), (366, 294)]",None,"(299, 104)"
