frameID,trayPoints,brushPoint,TwizzersPoint
4286.0,"[(260, 87), (366, 87), (260, 293), (366, 293)]","(332, 193)",None
4287.0,"[(260, 87), (366, 87), (260, 293), (366, 293)]","(329, 198)",None
4288.0,"[(260, 88), (366, 88), (260, 293), (366, 293)]","(327, 193)",None
4289.0,"[(260, 88), (366, 88), (260, 293), (366, 293)]","(325, 192)",None
4290.0,"[(260, 87), (366, 87), (260, 293), (366, 293)]","(323, 192)",None
4291.0,"[(260, 87), (366, 87), (260, 292), (366, 292)]","(322, 188)",None
4292.0,"[(260, 87), (366, 87), (260, 292), (366, 292)]",None,None
4293.0,"[(260, 87), (366, 87), (260, 292), (366, 292)]",None,None
4294.0,"[(260, 87), (366, 87), (260, 292), (366, 292)]",None,None
4295.0,"[(260, 88), (365, 88), (260, 292), (365, 292)]",None,None
4296.0,"[(260, 88), (365, 88), (260, 292), (365, 292)]",None,None
4297.0,"[(260, 87), (365, 87), (260, 292), (365, 292)]",None,None
4298.0,"[(260, 87), (365, 87), (260, 292), (365, 292)]",None,None
4299.0,"[(260, 87), (365, 87), (260, 292), (365, 292)]",None,None
4300.0,"[(260, 87), (365, 87), (260, 292), (365, 292)]",None,None
4301.0,"[(260, 87), (365, 87), (260, 292), (365, 292)]",None,None
4302.0,"[(260, 87), (365, 87), (260, 292), (365, 292)]",None,None
4303.0,"[(260, 87), (365, 87), (260, 292), (365, 292)]",None,None
4304.0,"[(260, 87), (365, 87), (260, 292), (365, 292)]","(319, 198)",None
4305.0,"[(260, 87), (366, 87), (260, 293), (366, 293)]","(318, 194)",None
4306.0,"[(260, 87), (366, 87), (260, 293), (366, 293)]","(318, 191)",None
4307.0,"[(260, 87), (366, 87), (260, 293), (366, 293)]","(318, 188)",None
4308.0,"[(260, 87), (366, 87), (260, 293), (366, 293)]","(317, 191)",None
4309.0,"[(260, 87), (366, 87), (260, 293), (366, 293)]","(316, 196)",None
4310.0,"[(260, 87), (366, 87), (260, 293), (366, 293)]","(314, 198)",None
