frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(232, 14), (347, 14), (232, 224), (347, 224)]",None,None
2.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
3.0,"[(232, 16), (347, 16), (232, 223), (347, 223)]",None,None
4.0,"[(232, 18), (347, 18), (232, 223), (347, 223)]",None,None
5.0,"[(232, 18), (347, 18), (232, 223), (347, 223)]",None,None
6.0,"[(232, 18), (347, 18), (232, 223), (347, 223)]",None,None
7.0,"[(232, 18), (347, 18), (232, 223), (347, 223)]",None,None
8.0,"[(232, 17), (347, 17), (232, 223), (347, 223)]",None,None
9.0,"[(232, 16), (347, 16), (232, 223), (347, 223)]",None,None
10.0,"[(232, 15), (347, 15), (232, 223), (347, 223)]",None,None
11.0,"[(232, 13), (347, 13), (232, 223), (347, 223)]",None,None
12.0,"[(232, 15), (346, 15), (232, 223), (346, 223)]",None,None
13.0,"[(232, 14), (346, 14), (232, 223), (346, 223)]",None,None
14.0,"[(232, 13), (346, 13), (232, 223), (346, 223)]",None,None
15.0,"[(232, 13), (346, 13), (232, 223), (346, 223)]",None,None
16.0,"[(232, 15), (346, 15), (232, 224), (346, 224)]",None,None
17.0,"[(232, 16), (346, 16), (232, 223), (346, 223)]",None,None
18.0,"[(232, 15), (346, 15), (232, 223), (346, 223)]",None,None
19.0,"[(232, 15), (346, 15), (232, 223), (346, 223)]",None,None
20.0,"[(232, 15), (346, 15), (232, 223), (346, 223)]",None,None
21.0,"[(232, 15), (346, 15), (232, 224), (346, 224)]",None,None
22.0,"[(232, 15), (346, 15), (232, 224), (346, 224)]",None,None
23.0,"[(232, 15), (346, 15), (232, 223), (346, 223)]",None,None
24.0,"[(232, 15), (346, 15), (232, 223), (346, 223)]",None,None
25.0,"[(232, 15), (346, 15), (232, 223), (346, 223)]",None,None
26.0,"[(232, 15), (346, 15), (232, 224), (346, 224)]",None,None
27.0,"[(232, 15), (346, 15), (232, 224), (346, 224)]",None,None
28.0,"[(232, 16), (346, 16), (232, 224), (346, 224)]",None,None
29.0,"[(232, 16), (346, 16), (232, 223), (346, 223)]",None,None
30.0,"[(232, 16), (346, 16), (232, 224), (346, 224)]",None,None
31.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
32.0,"[(232, 16), (346, 16), (232, 224), (346, 224)]",None,None
33.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
34.0,"[(232, 18), (347, 18), (232, 224), (347, 224)]",None,None
35.0,"[(232, 18), (347, 18), (232, 224), (347, 224)]",None,None
36.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]","(298, 171)",None
37.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]","(297, 176)",None
38.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]","(297, 173)",None
39.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
40.0,"[(232, 17), (347, 17), (232, 223), (347, 223)]",None,None
41.0,"[(232, 17), (347, 17), (232, 223), (347, 223)]","(299, 171)",None
42.0,"[(232, 17), (347, 17), (232, 223), (347, 223)]","(299, 169)",None
43.0,"[(232, 17), (347, 17), (232, 223), (347, 223)]","(298, 171)",None
44.0,"[(232, 17), (346, 17), (232, 224), (346, 224)]","(299, 171)",None
45.0,"[(232, 17), (346, 17), (232, 224), (346, 224)]","(298, 171)",None
46.0,"[(232, 18), (346, 18), (232, 224), (346, 224)]",None,None
47.0,"[(233, 18), (346, 18), (233, 223), (346, 223)]",None,None
48.0,"[(232, 17), (347, 17), (232, 223), (347, 223)]",None,None
49.0,"[(233, 17), (347, 17), (233, 223), (347, 223)]",None,None
50.0,"[(233, 17), (347, 17), (233, 223), (347, 223)]",None,None
51.0,"[(232, 17), (347, 17), (232, 223), (347, 223)]",None,None
52.0,"[(232, 17), (347, 17), (232, 223), (347, 223)]",None,None
53.0,"[(232, 16), (347, 16), (232, 223), (347, 223)]",None,None
54.0,"[(232, 17), (347, 17), (232, 223), (347, 223)]",None,None
55.0,"[(232, 17), (347, 17), (232, 223), (347, 223)]",None,None
56.0,"[(232, 17), (347, 17), (232, 223), (347, 223)]",None,None
57.0,"[(232, 17), (347, 17), (232, 223), (347, 223)]",None,None
58.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
59.0,"[(232, 17), (347, 17), (232, 223), (347, 223)]","(297, 176)",None
60.0,"[(232, 17), (346, 17), (232, 224), (346, 224)]","(298, 173)",None
61.0,"[(232, 17), (346, 17), (232, 224), (346, 224)]","(298, 174)",None
62.0,"[(232, 17), (346, 17), (232, 224), (346, 224)]",None,None
63.0,"[(232, 17), (346, 17), (232, 224), (346, 224)]",None,None
64.0,"[(233, 18), (347, 18), (233, 223), (347, 223)]","(300, 171)",None
65.0,"[(233, 20), (347, 20), (233, 223), (347, 223)]",None,None
66.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
67.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
68.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
69.0,"[(232, 19), (347, 19), (232, 224), (347, 224)]",None,None
70.0,"[(232, 19), (347, 19), (232, 224), (347, 224)]",None,None
71.0,"[(232, 18), (347, 18), (232, 224), (347, 224)]",None,None
72.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
73.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
74.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
75.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
76.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
77.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
78.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
79.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
80.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
81.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
82.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
83.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
84.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
85.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
86.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
87.0,"[(232, 15), (347, 15), (232, 224), (347, 224)]",None,None
88.0,"[(232, 16), (346, 16), (232, 224), (346, 224)]",None,None
89.0,"[(232, 16), (346, 16), (232, 224), (346, 224)]",None,None
90.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
91.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
92.0,"[(232, 15), (347, 15), (232, 224), (347, 224)]",None,None
93.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
94.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
95.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
96.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
97.0,"[(232, 16), (347, 16), (232, 224), (347, 224)]",None,None
98.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
99.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
100.0,"[(231, 16), (347, 16), (231, 224), (347, 224)]",None,None
101.0,"[(231, 16), (347, 16), (231, 224), (347, 224)]",None,None
102.0,"[(231, 17), (347, 17), (231, 224), (347, 224)]",None,None
103.0,"[(232, 19), (347, 19), (232, 224), (347, 224)]",None,None
104.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
105.0,"[(232, 21), (347, 21), (232, 224), (347, 224)]",None,None
106.0,"[(231, 20), (347, 20), (231, 224), (347, 224)]",None,None
107.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
108.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
109.0,"[(232, 21), (347, 21), (232, 224), (347, 224)]",None,None
110.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
111.0,"[(232, 19), (347, 19), (232, 224), (347, 224)]",None,None
112.0,"[(232, 22), (347, 22), (232, 223), (347, 223)]",None,None
113.0,"[(232, 22), (347, 22), (232, 223), (347, 223)]",None,None
114.0,"[(232, 20), (347, 20), (232, 223), (347, 223)]",None,None
115.0,"[(232, 18), (347, 18), (232, 223), (347, 223)]",None,None
116.0,"[(232, 18), (347, 18), (232, 224), (347, 224)]",None,None
117.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
118.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
119.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
120.0,"[(232, 17), (347, 17), (232, 224), (347, 224)]",None,None
121.0,"[(232, 18), (347, 18), (232, 224), (347, 224)]",None,None
122.0,"[(232, 19), (347, 19), (232, 224), (347, 224)]",None,None
123.0,"[(232, 21), (347, 21), (232, 224), (347, 224)]",None,None
124.0,"[(232, 21), (347, 21), (232, 224), (347, 224)]",None,None
125.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
126.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
127.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
128.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
129.0,"[(232, 19), (347, 19), (232, 224), (347, 224)]",None,None
130.0,"[(232, 19), (347, 19), (232, 224), (347, 224)]",None,None
131.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
132.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
133.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
134.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
135.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
136.0,"[(232, 21), (347, 21), (232, 223), (347, 223)]",None,None
137.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
138.0,"[(232, 20), (347, 20), (232, 224), (347, 224)]",None,None
139.0,"[(232, 19), (347, 19), (232, 223), (347, 223)]",None,None
140.0,"[(232, 19), (347, 19), (232, 223), (347, 223)]",None,None
141.0,"[(232, 19), (347, 19), (232, 223), (347, 223)]",None,None
142.0,"[(232, 20), (346, 20), (232, 223), (346, 223)]",None,None
143.0,"[(232, 20), (346, 20), (232, 224), (346, 224)]",None,None
144.0,"[(232, 20), (346, 20), (232, 224), (346, 224)]",None,None
145.0,"[(232, 20), (346, 20), (232, 223), (346, 223)]",None,None
146.0,"[(232, 20), (346, 20), (232, 224), (346, 224)]",None,None
147.0,"[(232, 19), (346, 19), (232, 223), (346, 223)]",None,None
148.0,"[(232, 19), (347, 19), (232, 223), (347, 223)]",None,None
149.0,"[(232, 19), (347, 19), (232, 223), (347, 223)]",None,None
150.0,"[(232, 18), (347, 18), (232, 223), (347, 223)]",None,None
151.0,"[(232, 18), (347, 18), (232, 223), (347, 223)]",None,None
152.0,"[(232, 18), (347, 18), (232, 223), (347, 223)]",None,None
153.0,"[(232, 18), (346, 18), (232, 223), (346, 223)]",None,None
154.0,"[(232, 18), (346, 18), (232, 223), (346, 223)]",None,None
155.0,"[(232, 18), (346, 18), (232, 223), (346, 223)]",None,None
