frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(229, 15), (342, 15), (229, 226), (342, 226)]",None,None
2.0,"[(229, 15), (342, 15), (229, 226), (342, 226)]",None,None
3.0,"[(229, 15), (342, 15), (229, 226), (342, 226)]",None,None
4.0,"[(229, 15), (342, 15), (229, 226), (342, 226)]",None,None
5.0,"[(229, 15), (342, 15), (229, 226), (342, 226)]",None,None
6.0,"[(229, 15), (342, 15), (229, 226), (342, 226)]",None,None
7.0,"[(229, 15), (342, 15), (229, 226), (342, 226)]",None,None
8.0,"[(229, 15), (342, 15), (229, 226), (342, 226)]",None,None
9.0,"[(229, 15), (342, 15), (229, 226), (342, 226)]",None,None
10.0,"[(228, 15), (342, 15), (228, 226), (342, 226)]",None,None
11.0,"[(229, 14), (343, 14), (229, 226), (343, 226)]",None,None
12.0,"[(229, 14), (343, 14), (229, 226), (343, 226)]",None,None
13.0,"[(230, 14), (343, 14), (230, 226), (343, 226)]",None,None
14.0,"[(230, 14), (343, 14), (230, 226), (343, 226)]",None,None
15.0,"[(230, 14), (343, 14), (230, 226), (343, 226)]",None,None
16.0,"[(230, 15), (342, 15), (230, 225), (342, 225)]",None,None
17.0,"[(229, 15), (342, 15), (229, 225), (342, 225)]",None,None
18.0,"[(230, 14), (342, 14), (230, 224), (342, 224)]",None,None
19.0,"[(229, 15), (342, 15), (229, 224), (342, 224)]",None,None
20.0,"[(229, 15), (342, 15), (229, 225), (342, 225)]",None,None
21.0,"[(228, 15), (342, 15), (228, 225), (342, 225)]",None,None
22.0,"[(228, 15), (342, 15), (228, 225), (342, 225)]",None,None
23.0,"[(228, 15), (342, 15), (228, 225), (342, 225)]",None,None
24.0,"[(228, 15), (342, 15), (228, 224), (342, 224)]",None,None
25.0,"[(228, 15), (342, 15), (228, 224), (342, 224)]",None,None
26.0,"[(228, 15), (342, 15), (228, 224), (342, 224)]",None,None
27.0,"[(228, 15), (342, 15), (228, 224), (342, 224)]",None,None
28.0,"[(228, 15), (342, 15), (228, 224), (342, 224)]",None,None
29.0,"[(229, 15), (342, 15), (229, 224), (342, 224)]",None,None
30.0,"[(229, 15), (342, 15), (229, 224), (342, 224)]",None,None
31.0,"[(229, 15), (342, 15), (229, 224), (342, 224)]",None,None
32.0,"[(229, 15), (342, 15), (229, 224), (342, 224)]",None,None
33.0,"[(229, 15), (343, 15), (229, 224), (343, 224)]",None,None
34.0,"[(229, 15), (343, 15), (229, 224), (343, 224)]",None,None
35.0,"[(229, 15), (343, 15), (229, 224), (343, 224)]",None,None
36.0,"[(229, 15), (343, 15), (229, 224), (343, 224)]",None,None
37.0,"[(229, 15), (343, 15), (229, 224), (343, 224)]",None,None
38.0,"[(229, 15), (343, 15), (229, 225), (343, 225)]",None,"(316, 306)"
39.0,"[(230, 15), (343, 15), (230, 225), (343, 225)]",None,None
40.0,"[(230, 15), (343, 15), (230, 224), (343, 224)]",None,None
41.0,"[(230, 15), (343, 15), (230, 225), (343, 225)]",None,None
42.0,"[(230, 15), (343, 15), (230, 225), (343, 225)]",None,None
43.0,"[(230, 15), (343, 15), (230, 225), (343, 225)]",None,None
44.0,"[(230, 15), (343, 15), (230, 225), (343, 225)]",None,None
45.0,"[(230, 15), (343, 15), (230, 225), (343, 225)]",None,None
46.0,"[(230, 15), (343, 15), (230, 225), (343, 225)]",None,None
47.0,"[(230, 15), (343, 15), (230, 225), (343, 225)]",None,None
48.0,"[(230, 15), (343, 15), (230, 225), (343, 225)]",None,None
49.0,"[(230, 15), (343, 15), (230, 224), (343, 224)]",None,None
50.0,"[(230, 15), (343, 15), (230, 224), (343, 224)]",None,None
51.0,"[(230, 15), (343, 15), (230, 224), (343, 224)]",None,None
52.0,"[(230, 15), (343, 15), (230, 224), (343, 224)]",None,None
53.0,"[(230, 15), (343, 15), (230, 225), (343, 225)]",None,None
54.0,"[(230, 15), (343, 15), (230, 225), (343, 225)]",None,None
55.0,"[(230, 15), (343, 15), (230, 224), (343, 224)]",None,None
56.0,"[(230, 15), (343, 15), (230, 224), (343, 224)]",None,None
57.0,"[(230, 15), (343, 15), (230, 224), (343, 224)]",None,"(314, 306)"
58.0,"[(230, 15), (343, 15), (230, 224), (343, 224)]",None,None
59.0,"[(230, 15), (343, 15), (230, 224), (343, 224)]",None,"(315, 306)"
60.0,"[(230, 14), (343, 14), (230, 224), (343, 224)]",None,"(315, 306)"
61.0,"[(230, 14), (343, 14), (230, 224), (343, 224)]",None,None
62.0,"[(230, 14), (344, 14), (230, 225), (344, 225)]",None,None
63.0,"[(230, 14), (344, 14), (230, 225), (344, 225)]",None,None
64.0,"[(230, 14), (344, 14), (230, 225), (344, 225)]",None,None
65.0,"[(230, 14), (344, 14), (230, 225), (344, 225)]",None,None
66.0,"[(230, 14), (344, 14), (230, 225), (344, 225)]",None,None
67.0,"[(230, 14), (344, 14), (230, 224), (344, 224)]",None,None
68.0,"[(230, 14), (344, 14), (230, 225), (344, 225)]",None,None
69.0,"[(230, 14), (344, 14), (230, 225), (344, 225)]",None,None
70.0,"[(230, 14), (344, 14), (230, 224), (344, 224)]",None,None
71.0,"[(230, 14), (344, 14), (230, 224), (344, 224)]",None,None
72.0,"[(230, 14), (343, 14), (230, 225), (343, 225)]",None,None
73.0,"[(230, 14), (343, 14), (230, 226), (343, 226)]",None,None
74.0,"[(230, 14), (343, 14), (230, 227), (343, 227)]",None,None
75.0,"[(230, 14), (343, 14), (230, 226), (343, 226)]",None,None
76.0,"[(230, 14), (343, 14), (230, 227), (343, 227)]",None,None
77.0,"[(230, 14), (342, 14), (230, 226), (342, 226)]",None,None
78.0,"[(231, 16), (342, 16), (231, 226), (342, 226)]",None,None
79.0,"[(230, 17), (342, 17), (230, 226), (342, 226)]",None,None
80.0,"[(230, 17), (342, 17), (230, 226), (342, 226)]",None,None
81.0,"[(230, 16), (342, 16), (230, 226), (342, 226)]",None,None
82.0,"[(230, 16), (342, 16), (230, 226), (342, 226)]","(291, 100)",None
83.0,"[(230, 16), (342, 16), (230, 226), (342, 226)]","(293, 101)",None
84.0,"[(230, 15), (343, 15), (230, 226), (343, 226)]","(293, 97)",None
85.0,"[(230, 15), (343, 15), (230, 226), (343, 226)]",None,None
86.0,"[(230, 15), (343, 15), (230, 226), (343, 226)]","(292, 94)",None
87.0,"[(230, 15), (343, 15), (230, 226), (343, 226)]","(292, 98)",None
88.0,"[(230, 15), (343, 15), (230, 226), (343, 226)]",None,None
89.0,"[(230, 16), (343, 16), (230, 226), (343, 226)]",None,None
90.0,"[(230, 16), (343, 16), (230, 226), (343, 226)]",None,None
91.0,"[(230, 16), (343, 16), (230, 226), (343, 226)]",None,None
92.0,"[(230, 16), (343, 16), (230, 226), (343, 226)]",None,None
93.0,"[(230, 16), (343, 16), (230, 226), (343, 226)]","(295, 123)",None
94.0,"[(230, 17), (343, 17), (230, 225), (343, 225)]","(297, 128)",None
95.0,"[(230, 17), (343, 17), (230, 225), (343, 225)]","(298, 134)",None
96.0,"[(230, 18), (343, 18), (230, 225), (343, 225)]",None,None
97.0,"[(230, 18), (343, 18), (230, 225), (343, 225)]","(299, 133)",None
98.0,"[(230, 18), (343, 18), (230, 225), (343, 225)]","(302, 132)",None
99.0,"[(230, 18), (343, 18), (230, 225), (343, 225)]","(303, 132)",None
100.0,"[(230, 19), (343, 19), (230, 225), (343, 225)]",None,None
101.0,"[(230, 20), (343, 20), (230, 225), (343, 225)]","(305, 132)",None
102.0,"[(230, 20), (343, 20), (230, 225), (343, 225)]",None,None
103.0,"[(230, 20), (343, 20), (230, 225), (343, 225)]",None,None
104.0,"[(230, 20), (343, 20), (230, 225), (343, 225)]",None,None
105.0,"[(230, 19), (343, 19), (230, 225), (343, 225)]","(305, 126)",None
106.0,"[(230, 19), (342, 19), (230, 225), (342, 225)]","(305, 126)","(316, 306)"
107.0,"[(230, 19), (342, 19), (230, 225), (342, 225)]","(306, 125)",None
108.0,"[(230, 19), (343, 19), (230, 225), (343, 225)]","(306, 124)",None
109.0,"[(230, 19), (343, 19), (230, 225), (343, 225)]","(308, 117)",None
110.0,"[(230, 19), (343, 19), (230, 225), (343, 225)]",None,None
111.0,"[(230, 19), (343, 19), (230, 225), (343, 225)]",None,None
112.0,"[(230, 18), (343, 18), (230, 225), (343, 225)]","(304, 134)",None
113.0,"[(230, 17), (343, 17), (230, 225), (343, 225)]","(305, 130)",None
114.0,"[(230, 17), (343, 17), (230, 225), (343, 225)]","(304, 138)",None
115.0,"[(230, 17), (343, 17), (230, 225), (343, 225)]","(303, 137)",None
116.0,"[(230, 17), (343, 17), (230, 225), (343, 225)]",None,None
117.0,"[(230, 17), (343, 17), (230, 225), (343, 225)]",None,None
118.0,"[(230, 17), (343, 17), (230, 225), (343, 225)]",None,None
119.0,"[(230, 17), (343, 17), (230, 225), (343, 225)]",None,None
120.0,"[(230, 18), (343, 18), (230, 225), (343, 225)]",None,None
121.0,"[(230, 18), (343, 18), (230, 226), (343, 226)]",None,None
122.0,"[(230, 18), (343, 18), (230, 225), (343, 225)]",None,None
123.0,"[(230, 18), (343, 18), (230, 225), (343, 225)]",None,None
124.0,"[(230, 18), (343, 18), (230, 226), (343, 226)]",None,None
125.0,"[(230, 19), (343, 19), (230, 226), (343, 226)]",None,None
126.0,"[(230, 19), (343, 19), (230, 226), (343, 226)]",None,None
127.0,"[(230, 20), (343, 20), (230, 225), (343, 225)]",None,None
128.0,"[(230, 20), (343, 20), (230, 225), (343, 225)]",None,None
