frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(142, 12), (236, 12), (142, 175), (236, 175)]",None,None
2.0,"[(142, 12), (236, 12), (142, 175), (236, 175)]",None,None
3.0,"[(142, 12), (236, 12), (142, 175), (236, 175)]",None,None
4.0,"[(142, 12), (236, 12), (142, 175), (236, 175)]",None,None
5.0,"[(142, 12), (236, 12), (142, 175), (236, 175)]",None,None
6.0,"[(142, 12), (236, 12), (142, 175), (236, 175)]",None,None
7.0,"[(142, 12), (236, 12), (142, 175), (236, 175)]",None,None
8.0,"[(142, 12), (236, 12), (142, 175), (236, 175)]",None,None
9.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
10.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
11.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
12.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
13.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
14.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
15.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
16.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
17.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
18.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
19.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
20.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
21.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
22.0,"[(142, 13), (237, 13), (142, 176), (237, 176)]",None,None
23.0,"[(142, 13), (237, 13), (142, 176), (237, 176)]",None,None
24.0,"[(142, 13), (237, 13), (142, 176), (237, 176)]",None,None
25.0,"[(142, 13), (237, 13), (142, 176), (237, 176)]",None,None
26.0,"[(142, 13), (237, 13), (142, 176), (237, 176)]",None,None
27.0,"[(142, 13), (237, 13), (142, 176), (237, 176)]",None,None
28.0,"[(142, 13), (237, 13), (142, 176), (237, 176)]",None,None
29.0,"[(142, 13), (237, 13), (142, 176), (237, 176)]",None,None
30.0,"[(142, 13), (237, 13), (142, 176), (237, 176)]",None,None
31.0,"[(142, 13), (237, 13), (142, 176), (237, 176)]",None,None
32.0,"[(142, 13), (237, 13), (142, 176), (237, 176)]",None,None
33.0,"[(142, 13), (237, 13), (142, 176), (237, 176)]",None,None
34.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
35.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
36.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
37.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
38.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
39.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
40.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
41.0,"[(142, 12), (236, 12), (142, 177), (236, 177)]",None,None
42.0,"[(142, 12), (236, 12), (142, 177), (236, 177)]",None,None
43.0,"[(142, 12), (236, 12), (142, 177), (236, 177)]",None,None
44.0,"[(142, 12), (236, 12), (142, 177), (236, 177)]",None,None
45.0,"[(142, 11), (236, 11), (142, 177), (236, 177)]",None,None
46.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
47.0,"[(142, 14), (237, 14), (142, 175), (237, 175)]",None,None
48.0,"[(142, 14), (237, 14), (142, 175), (237, 175)]",None,None
49.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
50.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
51.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
52.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
53.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
54.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
55.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
56.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
57.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
58.0,"[(142, 12), (236, 12), (142, 176), (236, 176)]",None,None
59.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
60.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
61.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
62.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
63.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
64.0,"[(142, 13), (236, 13), (142, 175), (236, 175)]",None,None
65.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
66.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
67.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
68.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
69.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
70.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
71.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
72.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
73.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
74.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
75.0,"[(142, 12), (237, 12), (142, 175), (237, 175)]",None,None
76.0,"[(142, 12), (237, 12), (142, 175), (237, 175)]",None,None
77.0,"[(142, 12), (237, 12), (142, 175), (237, 175)]",None,None
78.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
79.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
80.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
81.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
82.0,"[(142, 11), (236, 11), (142, 176), (236, 176)]",None,None
83.0,"[(142, 11), (236, 11), (142, 176), (236, 176)]",None,None
84.0,"[(142, 12), (236, 12), (142, 176), (236, 176)]",None,None
85.0,"[(142, 12), (236, 12), (142, 177), (236, 177)]",None,None
86.0,"[(142, 12), (236, 12), (142, 177), (236, 177)]",None,None
87.0,"[(142, 12), (236, 12), (142, 176), (236, 176)]",None,None
88.0,"[(142, 12), (237, 12), (142, 176), (237, 176)]",None,None
89.0,"[(142, 12), (236, 12), (142, 176), (236, 176)]",None,None
90.0,"[(142, 11), (237, 11), (142, 176), (237, 176)]",None,None
91.0,"[(142, 11), (237, 11), (142, 176), (237, 176)]",None,None
92.0,"[(142, 11), (237, 11), (142, 177), (237, 177)]",None,None
93.0,"[(142, 11), (237, 11), (142, 177), (237, 177)]",None,None
94.0,"[(142, 12), (237, 12), (142, 175), (237, 175)]",None,None
95.0,"[(142, 12), (237, 12), (142, 175), (237, 175)]",None,None
96.0,"[(141, 12), (237, 12), (141, 175), (237, 175)]",None,None
97.0,"[(142, 12), (237, 12), (142, 175), (237, 175)]",None,None
98.0,"[(142, 12), (237, 12), (142, 175), (237, 175)]",None,None
99.0,"[(142, 10), (237, 10), (142, 176), (237, 176)]",None,None
100.0,"[(142, 12), (237, 12), (142, 175), (237, 175)]",None,None
101.0,"[(142, 11), (237, 11), (142, 175), (237, 175)]",None,None
102.0,"[(142, 11), (237, 11), (142, 175), (237, 175)]",None,None
103.0,"[(142, 12), (237, 12), (142, 174), (237, 174)]",None,None
104.0,"[(142, 12), (237, 12), (142, 174), (237, 174)]",None,None
105.0,"[(142, 13), (237, 13), (142, 175), (237, 175)]",None,None
106.0,"[(142, 13), (236, 13), (142, 176), (236, 176)]",None,None
107.0,"[(142, 12), (236, 12), (142, 176), (236, 176)]",None,None
108.0,"[(142, 12), (236, 12), (142, 176), (236, 176)]",None,None
109.0,"[(142, 12), (236, 12), (142, 176), (236, 176)]",None,None
110.0,"[(142, 12), (236, 12), (142, 176), (236, 176)]",None,None
111.0,"[(142, 12), (236, 12), (142, 175), (236, 175)]",None,None
112.0,"[(142, 12), (236, 12), (142, 175), (236, 175)]",None,None
113.0,"[(142, 12), (237, 12), (142, 175), (237, 175)]",None,None
114.0,"[(142, 12), (236, 12), (142, 175), (236, 175)]",None,None
115.0,"[(142, 12), (237, 12), (142, 175), (237, 175)]",None,None
116.0,"[(142, 12), (237, 12), (142, 175), (237, 175)]",None,None
117.0,"[(142, 12), (237, 12), (142, 175), (237, 175)]",None,None
118.0,"[(142, 14), (236, 14), (142, 171), (236, 171)]",None,None
119.0,"[(142, 14), (235, 14), (142, 173), (235, 173)]",None,None
120.0,"[(142, 14), (236, 14), (142, 173), (236, 173)]",None,None
121.0,"[(142, 14), (236, 14), (142, 173), (236, 173)]",None,None
122.0,"[(142, 12), (237, 12), (142, 175), (237, 175)]",None,None
123.0,"[(142, 11), (237, 11), (142, 175), (237, 175)]",None,None
124.0,None,None,None
125.0,None,None,None
126.0,"[(142, 12), (237, 12), (142, 174), (237, 174)]",None,None
127.0,"[(142, 12), (237, 12), (142, 174), (237, 174)]",None,None
128.0,"[(142, 12), (237, 12), (142, 174), (237, 174)]",None,None
