frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(136, 9), (241, 9), (136, 196), (241, 196)]","(239, 253)",None
2.0,"[(136, 9), (241, 9), (136, 196), (241, 196)]",None,None
3.0,"[(136, 9), (241, 9), (136, 196), (241, 196)]",None,None
4.0,"[(136, 9), (241, 9), (136, 196), (241, 196)]",None,None
5.0,"[(136, 9), (241, 9), (136, 196), (241, 196)]",None,None
6.0,"[(136, 9), (241, 9), (136, 196), (241, 196)]",None,None
7.0,"[(136, 9), (241, 9), (136, 196), (241, 196)]",None,None
8.0,"[(136, 9), (241, 9), (136, 196), (241, 196)]",None,None
9.0,"[(136, 10), (241, 10), (136, 196), (241, 196)]",None,None
10.0,"[(136, 10), (241, 10), (136, 196), (241, 196)]",None,None
11.0,"[(136, 10), (241, 10), (136, 196), (241, 196)]",None,None
12.0,"[(136, 10), (241, 10), (136, 196), (241, 196)]",None,None
13.0,"[(136, 11), (241, 11), (136, 196), (241, 196)]",None,None
14.0,"[(136, 11), (241, 11), (136, 196), (241, 196)]",None,None
15.0,"[(136, 11), (241, 11), (136, 196), (241, 196)]",None,None
16.0,"[(136, 11), (241, 11), (136, 196), (241, 196)]",None,None
17.0,"[(136, 11), (241, 11), (136, 196), (241, 196)]",None,None
18.0,"[(136, 11), (241, 11), (136, 196), (241, 196)]",None,None
19.0,"[(136, 11), (241, 11), (136, 196), (241, 196)]",None,None
20.0,"[(136, 11), (241, 11), (136, 196), (241, 196)]",None,None
21.0,"[(136, 11), (241, 11), (136, 196), (241, 196)]",None,None
22.0,"[(136, 11), (241, 11), (136, 196), (241, 196)]",None,None
23.0,"[(136, 11), (241, 11), (136, 195), (241, 195)]",None,None
24.0,"[(136, 11), (241, 11), (136, 195), (241, 195)]",None,None
25.0,"[(137, 10), (240, 10), (137, 192), (240, 192)]","(241, 253)",None
26.0,"[(137, 10), (240, 10), (137, 192), (240, 192)]","(241, 253)",None
27.0,"[(137, 10), (240, 10), (137, 191), (240, 191)]","(241, 252)",None
28.0,"[(137, 11), (240, 11), (137, 191), (240, 191)]","(241, 252)",None
29.0,"[(137, 11), (240, 11), (137, 191), (240, 191)]","(241, 252)",None
30.0,"[(137, 11), (240, 11), (137, 191), (240, 191)]","(241, 252)",None
31.0,"[(137, 11), (240, 11), (137, 191), (240, 191)]","(241, 252)",None
32.0,"[(137, 11), (240, 11), (137, 191), (240, 191)]","(241, 252)",None
33.0,"[(137, 11), (240, 11), (137, 190), (240, 190)]","(241, 252)",None
34.0,"[(137, 11), (240, 11), (137, 190), (240, 190)]","(241, 252)",None
35.0,"[(137, 11), (240, 11), (137, 190), (240, 190)]","(241, 252)",None
36.0,"[(137, 11), (240, 11), (137, 190), (240, 190)]","(241, 252)",None
37.0,"[(136, 10), (241, 10), (136, 196), (241, 196)]",None,None
38.0,"[(136, 10), (241, 10), (136, 196), (241, 196)]",None,None
39.0,"[(136, 10), (241, 10), (136, 195), (241, 195)]","(243, 253)",None
40.0,"[(136, 10), (241, 10), (136, 195), (241, 195)]","(242, 253)",None
41.0,"[(136, 10), (241, 10), (136, 196), (241, 196)]",None,None
42.0,"[(136, 10), (241, 10), (136, 196), (241, 196)]",None,None
43.0,"[(136, 10), (241, 10), (136, 196), (241, 196)]",None,None
44.0,"[(136, 10), (241, 10), (136, 196), (241, 196)]","(243, 253)",None
45.0,"[(136, 10), (241, 10), (136, 197), (241, 197)]","(243, 253)",None
46.0,"[(136, 10), (241, 10), (136, 197), (241, 197)]","(242, 253)",None
47.0,"[(136, 10), (241, 10), (136, 197), (241, 197)]","(242, 253)",None
48.0,"[(136, 10), (241, 10), (136, 197), (241, 197)]","(243, 253)",None
49.0,"[(136, 11), (241, 11), (136, 197), (241, 197)]",None,None
50.0,"[(136, 11), (241, 11), (136, 197), (241, 197)]",None,None
51.0,"[(136, 11), (241, 11), (136, 197), (241, 197)]",None,None
52.0,"[(136, 11), (241, 11), (136, 197), (241, 197)]","(242, 253)",None
53.0,"[(136, 11), (241, 11), (136, 197), (241, 197)]","(242, 253)",None
54.0,"[(136, 11), (241, 11), (136, 197), (241, 197)]","(242, 253)",None
55.0,"[(136, 11), (241, 11), (136, 197), (241, 197)]","(242, 253)",None
56.0,"[(136, 11), (241, 11), (136, 197), (241, 197)]","(242, 253)",None
57.0,"[(136, 10), (241, 10), (136, 197), (241, 197)]","(242, 253)",None
58.0,"[(136, 10), (241, 10), (136, 197), (241, 197)]","(242, 253)",None
59.0,"[(136, 10), (241, 10), (136, 197), (241, 197)]","(242, 253)",None
60.0,"[(136, 10), (241, 10), (136, 197), (241, 197)]","(242, 253)",None
61.0,"[(136, 10), (241, 10), (136, 196), (241, 196)]","(243, 253)",None
62.0,"[(136, 10), (241, 10), (136, 197), (241, 197)]","(243, 252)",None
63.0,"[(136, 11), (241, 11), (136, 197), (241, 197)]",None,None
64.0,"[(136, 10), (241, 10), (136, 198), (241, 198)]",None,None
65.0,"[(136, 10), (241, 10), (136, 197), (241, 197)]",None,None
66.0,"[(136, 10), (241, 10), (136, 195), (241, 195)]",None,None
67.0,"[(135, 11), (241, 11), (135, 194), (241, 194)]",None,None
68.0,"[(135, 11), (241, 11), (135, 195), (241, 195)]",None,None
69.0,"[(135, 11), (241, 11), (135, 195), (241, 195)]",None,None
70.0,"[(136, 11), (241, 11), (136, 196), (241, 196)]",None,None
71.0,"[(136, 10), (241, 10), (136, 196), (241, 196)]",None,None
72.0,"[(136, 10), (241, 10), (136, 194), (241, 194)]","(243, 252)",None
73.0,"[(136, 11), (240, 11), (136, 187), (240, 187)]","(241, 252)",None
74.0,"[(136, 10), (241, 10), (136, 193), (241, 193)]","(241, 252)",None
75.0,"[(136, 11), (241, 11), (136, 192), (241, 192)]","(241, 252)",None
76.0,"[(136, 11), (241, 11), (136, 194), (241, 194)]","(241, 252)",None
77.0,"[(136, 10), (241, 10), (136, 195), (241, 195)]","(242, 253)",None
78.0,"[(136, 10), (241, 10), (136, 195), (241, 195)]","(241, 252)",None
79.0,"[(136, 10), (241, 10), (136, 195), (241, 195)]","(241, 252)",None
