frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(139, 7), (241, 7), (139, 199), (241, 199)]",None,"(253, 283)"
2.0,"[(139, 7), (241, 7), (139, 199), (241, 199)]",None,"(252, 282)"
3.0,"[(139, 7), (241, 7), (139, 199), (241, 199)]",None,"(252, 282)"
4.0,"[(139, 7), (241, 7), (139, 199), (241, 199)]",None,"(252, 282)"
5.0,"[(139, 7), (241, 7), (139, 199), (241, 199)]",None,"(252, 282)"
6.0,"[(139, 8), (241, 8), (139, 199), (241, 199)]",None,"(252, 282)"
7.0,"[(139, 8), (241, 8), (139, 199), (241, 199)]",None,"(253, 283)"
8.0,"[(139, 8), (241, 8), (139, 199), (241, 199)]",None,"(252, 282)"
9.0,"[(139, 7), (241, 7), (139, 199), (241, 199)]",None,"(252, 282)"
10.0,"[(139, 7), (241, 7), (139, 199), (241, 199)]",None,"(252, 282)"
11.0,"[(139, 8), (241, 8), (139, 199), (241, 199)]",None,"(252, 282)"
12.0,"[(139, 7), (241, 7), (139, 199), (241, 199)]",None,"(252, 282)"
13.0,"[(140, 9), (241, 9), (140, 198), (241, 198)]",None,"(254, 282)"
14.0,"[(140, 9), (241, 9), (140, 198), (241, 198)]",None,"(254, 282)"
15.0,"[(140, 9), (241, 9), (140, 198), (241, 198)]",None,"(254, 282)"
16.0,"[(140, 9), (241, 9), (140, 198), (241, 198)]",None,"(254, 282)"
17.0,"[(140, 9), (241, 9), (140, 198), (241, 198)]",None,"(254, 282)"
18.0,"[(140, 9), (241, 9), (140, 198), (241, 198)]",None,"(254, 282)"
19.0,"[(139, 9), (241, 9), (139, 198), (241, 198)]",None,"(254, 282)"
20.0,"[(140, 9), (241, 9), (140, 198), (241, 198)]",None,"(254, 282)"
21.0,"[(140, 9), (241, 9), (140, 198), (241, 198)]",None,"(254, 282)"
22.0,"[(140, 9), (241, 9), (140, 199), (241, 199)]",None,"(254, 282)"
23.0,"[(140, 9), (241, 9), (140, 199), (241, 199)]",None,"(254, 282)"
24.0,"[(140, 9), (241, 9), (140, 199), (241, 199)]",None,"(254, 282)"
25.0,"[(139, 8), (241, 8), (139, 198), (241, 198)]",None,"(253, 283)"
26.0,"[(139, 8), (241, 8), (139, 198), (241, 198)]",None,"(253, 283)"
27.0,"[(139, 8), (241, 8), (139, 198), (241, 198)]",None,"(253, 283)"
28.0,"[(139, 7), (241, 7), (139, 198), (241, 198)]",None,"(253, 283)"
