frameID,trayPoints,brushPoint,TwizzersPoint
1.0,"[(204, 12), (332, 12), (204, 256), (332, 256)]",None,None
2.0,"[(204, 13), (332, 13), (204, 257), (332, 257)]",None,None
3.0,"[(204, 14), (332, 14), (204, 257), (332, 257)]",None,None
4.0,"[(206, 12), (332, 12), (206, 256), (332, 256)]",None,None
5.0,"[(206, 13), (332, 13), (206, 256), (332, 256)]",None,None
6.0,"[(206, 13), (332, 13), (206, 256), (332, 256)]",None,None
7.0,"[(206, 13), (332, 13), (206, 256), (332, 256)]",None,None
8.0,"[(207, 13), (332, 13), (207, 256), (332, 256)]",None,None
9.0,"[(207, 13), (332, 13), (207, 256), (332, 256)]",None,None
10.0,"[(207, 13), (332, 13), (207, 256), (332, 256)]",None,None
11.0,"[(207, 13), (332, 13), (207, 256), (332, 256)]",None,None
12.0,"[(207, 13), (332, 13), (207, 256), (332, 256)]",None,None
13.0,"[(207, 13), (332, 13), (207, 256), (332, 256)]",None,None
14.0,"[(207, 13), (332, 13), (207, 256), (332, 256)]",None,None
15.0,"[(207, 13), (332, 13), (207, 256), (332, 256)]",None,None
16.0,"[(206, 13), (332, 13), (206, 256), (332, 256)]",None,None
17.0,"[(206, 13), (332, 13), (206, 256), (332, 256)]",None,None
18.0,"[(207, 13), (332, 13), (207, 257), (332, 257)]",None,None
19.0,"[(207, 12), (332, 12), (207, 256), (332, 256)]",None,None
20.0,"[(208, 12), (332, 12), (208, 256), (332, 256)]",None,None
21.0,"[(207, 12), (332, 12), (207, 256), (332, 256)]",None,None
22.0,"[(206, 12), (332, 12), (206, 257), (332, 257)]",None,None
23.0,"[(206, 12), (332, 12), (206, 256), (332, 256)]",None,None
24.0,"[(208, 11), (333, 11), (208, 257), (333, 257)]",None,None
25.0,"[(208, 11), (333, 11), (208, 257), (333, 257)]",None,None
26.0,"[(209, 11), (332, 11), (209, 258), (332, 258)]",None,None
27.0,"[(204, 13), (331, 13), (204, 257), (331, 257)]",None,None
28.0,"[(204, 12), (331, 12), (204, 257), (331, 257)]",None,None
29.0,"[(203, 13), (331, 13), (203, 257), (331, 257)]",None,None
30.0,"[(203, 13), (331, 13), (203, 257), (331, 257)]",None,None
31.0,"[(201, 14), (331, 14), (201, 257), (331, 257)]",None,None
32.0,"[(202, 15), (331, 15), (202, 257), (331, 257)]",None,None
33.0,"[(202, 14), (331, 14), (202, 257), (331, 257)]",None,None
34.0,"[(203, 13), (332, 13), (203, 256), (332, 256)]",None,None
35.0,"[(203, 13), (332, 13), (203, 256), (332, 256)]",None,None
36.0,"[(202, 13), (332, 13), (202, 256), (332, 256)]",None,None
37.0,"[(202, 14), (331, 14), (202, 257), (331, 257)]",None,None
38.0,"[(203, 14), (331, 14), (203, 257), (331, 257)]",None,None
39.0,"[(203, 14), (331, 14), (203, 257), (331, 257)]",None,None
40.0,"[(203, 14), (331, 14), (203, 257), (331, 257)]",None,None
41.0,"[(202, 14), (332, 14), (202, 257), (332, 257)]",None,None
42.0,"[(202, 14), (332, 14), (202, 257), (332, 257)]",None,None
43.0,"[(203, 13), (332, 13), (203, 256), (332, 256)]",None,None
44.0,"[(203, 14), (332, 14), (203, 257), (332, 257)]",None,None
45.0,"[(203, 14), (332, 14), (203, 257), (332, 257)]",None,None
46.0,"[(203, 15), (332, 15), (203, 257), (332, 257)]",None,None
47.0,"[(203, 15), (332, 15), (203, 257), (332, 257)]",None,None
48.0,"[(202, 15), (332, 15), (202, 257), (332, 257)]",None,None
49.0,"[(202, 15), (332, 15), (202, 257), (332, 257)]",None,None
50.0,"[(203, 14), (332, 14), (203, 256), (332, 256)]",None,None
51.0,"[(203, 14), (332, 14), (203, 256), (332, 256)]",None,None
52.0,"[(203, 14), (332, 14), (203, 256), (332, 256)]",None,None
53.0,"[(203, 14), (332, 14), (203, 257), (332, 257)]",None,None
54.0,"[(202, 16), (332, 16), (202, 257), (332, 257)]",None,None
55.0,"[(201, 16), (331, 16), (201, 258), (331, 258)]",None,None
56.0,"[(201, 15), (331, 15), (201, 258), (331, 258)]",None,None
57.0,"[(201, 15), (331, 15), (201, 258), (331, 258)]",None,None
58.0,"[(201, 15), (331, 15), (201, 258), (331, 258)]",None,None
59.0,"[(201, 16), (331, 16), (201, 258), (331, 258)]",None,None
60.0,"[(201, 16), (331, 16), (201, 258), (331, 258)]",None,None
61.0,"[(201, 15), (331, 15), (201, 258), (331, 258)]",None,None
62.0,"[(201, 15), (331, 15), (201, 258), (331, 258)]",None,None
63.0,"[(201, 15), (331, 15), (201, 257), (331, 257)]",None,None
64.0,"[(201, 15), (331, 15), (201, 257), (331, 257)]",None,None
65.0,"[(201, 15), (331, 15), (201, 257), (331, 257)]",None,None
66.0,"[(201, 16), (331, 16), (201, 257), (331, 257)]",None,None
67.0,"[(202, 13), (332, 13), (202, 256), (332, 256)]",None,None
68.0,"[(203, 13), (332, 13), (203, 256), (332, 256)]",None,None
69.0,"[(203, 13), (332, 13), (203, 256), (332, 256)]",None,None
70.0,"[(203, 13), (332, 13), (203, 257), (332, 257)]",None,None
71.0,"[(203, 14), (332, 14), (203, 257), (332, 257)]",None,None
72.0,"[(203, 14), (332, 14), (203, 257), (332, 257)]",None,None
73.0,"[(202, 16), (331, 16), (202, 257), (331, 257)]",None,None
74.0,"[(202, 16), (331, 16), (202, 257), (331, 257)]",None,None
75.0,"[(202, 16), (331, 16), (202, 257), (331, 257)]",None,None
76.0,"[(202, 16), (331, 16), (202, 257), (331, 257)]",None,None
77.0,"[(202, 15), (331, 15), (202, 257), (331, 257)]",None,None
78.0,"[(202, 15), (331, 15), (202, 257), (331, 257)]",None,None
79.0,"[(201, 15), (331, 15), (201, 258), (331, 258)]",None,None
80.0,"[(202, 15), (331, 15), (202, 258), (331, 258)]",None,None
81.0,"[(202, 15), (331, 15), (202, 258), (331, 258)]",None,None
82.0,"[(202, 15), (331, 15), (202, 258), (331, 258)]",None,None
83.0,"[(201, 15), (331, 15), (201, 258), (331, 258)]",None,None
84.0,"[(201, 15), (331, 15), (201, 258), (331, 258)]",None,None
85.0,"[(201, 15), (331, 15), (201, 258), (331, 258)]",None,None
86.0,"[(201, 16), (331, 16), (201, 258), (331, 258)]",None,None
87.0,"[(201, 16), (331, 16), (201, 258), (331, 258)]",None,None
88.0,"[(201, 16), (331, 16), (201, 258), (331, 258)]",None,None
89.0,"[(201, 16), (331, 16), (201, 258), (331, 258)]",None,None
90.0,"[(201, 16), (331, 16), (201, 258), (331, 258)]",None,None
91.0,"[(203, 16), (331, 16), (203, 257), (331, 257)]",None,None
92.0,"[(203, 16), (331, 16), (203, 257), (331, 257)]",None,None
93.0,"[(203, 16), (331, 16), (203, 257), (331, 257)]",None,None
94.0,"[(203, 16), (331, 16), (203, 257), (331, 257)]",None,None
95.0,"[(203, 16), (331, 16), (203, 257), (331, 257)]",None,None
96.0,"[(203, 16), (331, 16), (203, 257), (331, 257)]",None,None
97.0,"[(204, 14), (332, 14), (204, 257), (332, 257)]",None,None
98.0,"[(204, 14), (332, 14), (204, 257), (332, 257)]",None,None
99.0,"[(203, 16), (331, 16), (203, 257), (331, 257)]",None,None
100.0,"[(203, 16), (331, 16), (203, 257), (331, 257)]",None,None
101.0,"[(203, 16), (331, 16), (203, 257), (331, 257)]",None,None
